trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.99, 'e': 0.8710986917457983}",25,16,-25.757905906561792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.99, 'e': 0.8702280284582515}",25,7,26.79435913201218,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.99, 'e': 0.8693582353988059}",20,0,21.756034485533007,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.99, 'e': 0.8684893116976679}",25,14,22.951057502734233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.99, 'e': 0.867621256485914}",20,3,27.22501914859263,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.99, 'e': 0.8667540688954889}",30,7,32.11136828442295,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.865887748059205}",20,0,35.32684595603534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.99, 'e': 0.8650222931107413}",25,9,23.648241316885198,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.99, 'e': 0.8641577031846428}",20,4,10.156489945335963,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.8632939774163194}",20,14,11.756989844465986,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.99, 'e': 0.8624311149420455}",30,0,50.90134488965086,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.99, 'e': 0.8615691148989583}",25,4,34.26773434640968,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.8607079764250578}",25,12,24.427332668891033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.99, 'e': 0.8598476986592055}",20,6,16.449807412564436,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.8589882807411234}",25,12,11.711748110024988,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.99, 'e': 0.8581297218113938}",20,12,12.72157019645154,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.99, 'e': 0.8572720210114575}",20,8,18.67057076787785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.99, 'e': 0.8564151774836135}",25,13,19.603473772522033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.99, 'e': 0.8555591903710185}",20,10,18.235271111015397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.99, 'e': 0.8547040588176851}",20,10,20.750389382633887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.99, 'e': 0.8538497819684817}",20,1,30.30802819373829,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.8529963589691315}",20,11,15.4979411209207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.99, 'e': 0.8521437889662113}",20,8,22.428795809115652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.99, 'e': 0.8512920711071511}",20,3,27.918269098723435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.99, 'e': 0.850441204540233}",25,8,31.151595546945632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.99, 'e': 0.8495911884145902}",25,9,28.263060145398924,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.99, 'e': 0.8487420218802068}",25,15,15.372855916594522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.99, 'e': 0.8478937040879159}",25,3,27.233711442350767,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.99, 'e': 0.8470462341893996}",25,7,28.823200067614486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.99, 'e': 0.8461996113371882}",25,15,16.84762539759197,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.99, 'e': 0.8453538346846587}",25,18,12.260700719589146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.99, 'e': 0.8445089033860343}",20,3,-17.17042762486589,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.99, 'e': 0.8436648165963837}",20,4,-15.178991635282852,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.99, 'e': 0.8428215734716199}",25,6,34.57498156797113,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.8419791731684999}",25,13,23.260796213228026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.99, 'e': 0.8411376148446232}",20,12,16.41565363555807,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.8402968976584314}",25,8,17.489463142055126,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.8394570207692074}",25,17,16.252212384649418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.99, 'e': 0.838617983337074}",30,20,18.0308950069697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.8377797845229938}",20,7,23.54243372937722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.8369424234887681}",25,8,34.62505159327783,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.8361058993970355}",25,0,39.79359218316639,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.99, 'e': 0.835270211411272}",20,11,15.872774345228128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.8344353586957896}",25,11,23.701179666445864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.99, 'e': 0.8336013404157353}",20,15,6.610529348067743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.832768155737091}",20,12,12.799682194507543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.99, 'e': 0.8319358038266718}",30,3,0.627881587575762,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
